unadjusted_close,ticker_symbol,datetime,split,dividend,backward_adj_close
193.65,TSLA,2019-06-04,1.0,0.0,12.91
196.64999999999998,TSLA,2019-06-05,1.0,0.0,13.11
205.95000000000002,TSLA,2019-06-06,1.0,0.0,13.73
204.45000000000002,TSLA,2019-06-07,1.0,0.0,13.63
212.85,TSLA,2019-06-10,1.0,0.0,14.19
217.05,TSLA,2019-06-11,1.0,0.0,14.47
209.25,TSLA,2019-06-12,1.0,0.0,13.95
213.9,TSLA,2019-06-13,1.0,0.0,14.26
214.95,TSLA,2019-06-14,1.0,0.0,14.33
225.0,TSLA,2019-06-17,1.0,0.0,15.0
224.70000000000002,TSLA,2019-06-18,1.0,0.0,14.98
226.5,TSLA,2019-06-19,1.0,0.0,15.1
219.60000000000002,TSLA,2019-06-20,1.0,0.0,14.64
221.85,TSLA,2019-06-21,1.0,0.0,14.79
223.65,TSLA,2019-06-24,1.0,0.0,14.91
219.75,TSLA,2019-06-25,1.0,0.0,14.65
219.29999999999998,TSLA,2019-06-26,1.0,0.0,14.62
222.89999999999998,TSLA,2019-06-27,1.0,0.0,14.86
223.5,TSLA,2019-06-28,1.0,0.0,14.9
227.10000000000002,TSLA,2019-07-01,1.0,0.0,15.14
224.55,TSLA,2019-07-02,1.0,0.0,14.97
234.9,TSLA,2019-07-03,1.0,0.0,15.66
233.1,TSLA,2019-07-05,1.0,0.0,15.54
230.39999999999998,TSLA,2019-07-08,1.0,0.0,15.36
230.1,TSLA,2019-07-09,1.0,0.0,15.34
238.95,TSLA,2019-07-10,1.0,0.0,15.93
238.65,TSLA,2019-07-11,1.0,0.0,15.91
245.1,TSLA,2019-07-12,1.0,0.0,16.34
253.49999999999997,TSLA,2019-07-15,1.0,0.0,16.9
252.45,TSLA,2019-07-16,1.0,0.0,16.83
254.84999999999997,TSLA,2019-07-17,1.0,0.0,16.99
253.49999999999997,TSLA,2019-07-18,1.0,0.0,16.9
258.15000000000003,TSLA,2019-07-19,1.0,0.0,17.21
255.75,TSLA,2019-07-22,1.0,0.0,17.05
260.1,TSLA,2019-07-23,1.0,0.0,17.34
264.9,TSLA,2019-07-24,1.0,0.0,17.66
228.75,TSLA,2019-07-25,1.0,0.0,15.25
228.0,TSLA,2019-07-26,1.0,0.0,15.2
235.8,TSLA,2019-07-29,1.0,0.0,15.72
242.24999999999997,TSLA,2019-07-30,1.0,0.0,16.15
241.64999999999998,TSLA,2019-07-31,1.0,0.0,16.11
233.85,TSLA,2019-08-01,1.0,0.0,15.59
234.29999999999998,TSLA,2019-08-02,1.0,0.0,15.62
228.3,TSLA,2019-08-05,1.0,0.0,15.22
230.70000000000002,TSLA,2019-08-06,1.0,0.0,15.38
233.4,TSLA,2019-08-07,1.0,0.0,15.56
238.35000000000002,TSLA,2019-08-08,1.0,0.0,15.89
235.05,TSLA,2019-08-09,1.0,0.0,15.67
229.04999999999998,TSLA,2019-08-12,1.0,0.0,15.27
235.05,TSLA,2019-08-13,1.0,0.0,15.67
219.60000000000002,TSLA,2019-08-14,1.0,0.0,14.64
215.70000000000002,TSLA,2019-08-15,1.0,0.0,14.38
219.9,TSLA,2019-08-16,1.0,0.0,14.66
226.79999999999998,TSLA,2019-08-19,1.0,0.0,15.12
225.9,TSLA,2019-08-20,1.0,0.0,15.06
220.8,TSLA,2019-08-21,1.0,0.0,14.72
222.15,TSLA,2019-08-22,1.0,0.0,14.81
211.35,TSLA,2019-08-23,1.0,0.0,14.09
214.95,TSLA,2019-08-26,1.0,0.0,14.33
214.04999999999998,TSLA,2019-08-27,1.0,0.0,14.27
215.54999999999998,TSLA,2019-08-28,1.0,0.0,14.37
221.7,TSLA,2019-08-29,1.0,0.0,14.78
225.6,TSLA,2019-08-30,1.0,0.0,15.04
225.0,TSLA,2019-09-03,1.0,0.0,15.0
220.65,TSLA,2019-09-04,1.0,0.0,14.71
229.65,TSLA,2019-09-05,1.0,0.0,15.31
227.4,TSLA,2019-09-06,1.0,0.0,15.16
231.75,TSLA,2019-09-09,1.0,0.0,15.45
235.5,TSLA,2019-09-10,1.0,0.0,15.7
247.04999999999998,TSLA,2019-09-11,1.0,0.0,16.47
245.85000000000002,TSLA,2019-09-12,1.0,0.0,16.39
245.25000000000003,TSLA,2019-09-13,1.0,0.0,16.35
242.85000000000002,TSLA,2019-09-16,1.0,0.0,16.19
244.8,TSLA,2019-09-17,1.0,0.0,16.32
243.45000000000002,TSLA,2019-09-18,1.0,0.0,16.23
246.60000000000002,TSLA,2019-09-19,1.0,0.0,16.44
240.6,TSLA,2019-09-20,1.0,0.0,16.04
241.2,TSLA,2019-09-23,1.0,0.0,16.08
223.20000000000002,TSLA,2019-09-24,1.0,0.0,14.88
228.75,TSLA,2019-09-25,1.0,0.0,15.25
242.55,TSLA,2019-09-26,1.0,0.0,16.17
242.10000000000002,TSLA,2019-09-27,1.0,0.0,16.14
240.89999999999998,TSLA,2019-09-30,1.0,0.0,16.06
244.64999999999998,TSLA,2019-10-01,1.0,0.0,16.31
243.15,TSLA,2019-10-02,1.0,0.0,16.21
233.1,TSLA,2019-10-03,1.0,0.0,15.54
231.45,TSLA,2019-10-04,1.0,0.0,15.43
237.75,TSLA,2019-10-07,1.0,0.0,15.85
240.0,TSLA,2019-10-08,1.0,0.0,16.0
244.5,TSLA,2019-10-09,1.0,0.0,16.3
244.8,TSLA,2019-10-10,1.0,0.0,16.32
247.95000000000002,TSLA,2019-10-11,1.0,0.0,16.53
256.95,TSLA,2019-10-14,1.0,0.0,17.13
257.85,TSLA,2019-10-15,1.0,0.0,17.19
259.8,TSLA,2019-10-16,1.0,0.0,17.32
261.90000000000003,TSLA,2019-10-17,1.0,0.0,17.46
256.95,TSLA,2019-10-18,1.0,0.0,17.13
253.49999999999997,TSLA,2019-10-21,1.0,0.0,16.9
255.6,TSLA,2019-10-22,1.0,0.0,17.04
254.70000000000002,TSLA,2019-10-23,1.0,0.0,16.98
299.7,TSLA,2019-10-24,1.0,0.0,19.98
328.2,TSLA,2019-10-25,1.0,0.0,21.88
327.75,TSLA,2019-10-28,1.0,0.0,21.85
316.2,TSLA,2019-10-29,1.0,0.0,21.08
315.0,TSLA,2019-10-30,1.0,0.0,21.0
314.84999999999997,TSLA,2019-10-31,1.0,0.0,20.99
313.35,TSLA,2019-11-01,1.0,0.0,20.89
317.4,TSLA,2019-11-04,1.0,0.0,21.16
317.25,TSLA,2019-11-05,1.0,0.0,21.15
326.55,TSLA,2019-11-06,1.0,0.0,21.77
335.55,TSLA,2019-11-07,1.0,0.0,22.37
337.2,TSLA,2019-11-08,1.0,0.0,22.48
345.15000000000003,TSLA,2019-11-11,1.0,0.0,23.01
349.95,TSLA,2019-11-12,1.0,0.0,23.33
346.05,TSLA,2019-11-13,1.0,0.0,23.07
349.34999999999997,TSLA,2019-11-14,1.0,0.0,23.29
352.2,TSLA,2019-11-15,1.0,0.0,23.48
349.95,TSLA,2019-11-18,1.0,0.0,23.33
359.54999999999995,TSLA,2019-11-19,1.0,0.0,23.97
352.2,TSLA,2019-11-20,1.0,0.0,23.48
354.9,TSLA,2019-11-21,1.0,0.0,23.66
333.0,TSLA,2019-11-22,1.0,0.0,22.2
336.3,TSLA,2019-11-25,1.0,0.0,22.42
328.95,TSLA,2019-11-26,1.0,0.0,21.93
331.35,TSLA,2019-11-27,1.0,0.0,22.09
330.0,TSLA,2019-11-29,1.0,0.0,22.0
334.8,TSLA,2019-12-02,1.0,0.0,22.32
336.15,TSLA,2019-12-03,1.0,0.0,22.41
333.0,TSLA,2019-12-04,1.0,0.0,22.2
330.3,TSLA,2019-12-05,1.0,0.0,22.02
335.85,TSLA,2019-12-06,1.0,0.0,22.39
339.6,TSLA,2019-12-09,1.0,0.0,22.64
348.90000000000003,TSLA,2019-12-10,1.0,0.0,23.26
352.65000000000003,TSLA,2019-12-11,1.0,0.0,23.51
359.7,TSLA,2019-12-12,1.0,0.0,23.98
358.35,TSLA,2019-12-13,1.0,0.0,23.89
381.45,TSLA,2019-12-16,1.0,0.0,25.43
379.05,TSLA,2019-12-17,1.0,0.0,25.27
393.15000000000003,TSLA,2019-12-18,1.0,0.0,26.21
404.1,TSLA,2019-12-19,1.0,0.0,26.94
405.59999999999997,TSLA,2019-12-20,1.0,0.0,27.04
419.25,TSLA,2019-12-23,1.0,0.0,27.95
425.25,TSLA,2019-12-24,1.0,0.0,28.35
430.95,TSLA,2019-12-26,1.0,0.0,28.73
430.35,TSLA,2019-12-27,1.0,0.0,28.69
414.75,TSLA,2019-12-30,1.0,0.0,27.65
418.35,TSLA,2019-12-31,1.0,0.0,27.89
430.2,TSLA,2020-01-02,1.0,0.0,28.68
442.95000000000005,TSLA,2020-01-03,1.0,0.0,29.53
451.5,TSLA,2020-01-06,1.0,0.0,30.1
469.05,TSLA,2020-01-07,1.0,0.0,31.27
492.15000000000003,TSLA,2020-01-08,1.0,0.0,32.81
481.35,TSLA,2020-01-09,1.0,0.0,32.09
478.2,TSLA,2020-01-10,1.0,0.0,31.88
524.85,TSLA,2020-01-13,1.0,0.0,34.99
537.9,TSLA,2020-01-14,1.0,0.0,35.86
518.55,TSLA,2020-01-15,1.0,0.0,34.57
513.4499999999999,TSLA,2020-01-16,1.0,0.0,34.23
510.45000000000005,TSLA,2020-01-17,1.0,0.0,34.03
547.1999999999999,TSLA,2020-01-21,1.0,0.0,36.48
569.55,TSLA,2020-01-22,1.0,0.0,37.97
572.25,TSLA,2020-01-23,1.0,0.0,38.15
564.75,TSLA,2020-01-24,1.0,0.0,37.65
558.0,TSLA,2020-01-27,1.0,0.0,37.2
566.85,TSLA,2020-01-28,1.0,0.0,37.79
580.9499999999999,TSLA,2020-01-29,1.0,0.0,38.73
640.8,TSLA,2020-01-30,1.0,0.0,42.72
650.55,TSLA,2020-01-31,1.0,0.0,43.37
780.0,TSLA,2020-02-03,1.0,0.0,52.0
887.1,TSLA,2020-02-04,1.0,0.0,59.14
734.6999999999999,TSLA,2020-02-05,1.0,0.0,48.98
748.95,TSLA,2020-02-06,1.0,0.0,49.93
748.05,TSLA,2020-02-07,1.0,0.0,49.87
771.3000000000001,TSLA,2020-02-10,1.0,0.0,51.42
774.45,TSLA,2020-02-11,1.0,0.0,51.63
767.25,TSLA,2020-02-12,1.0,0.0,51.15
804.0,TSLA,2020-02-13,1.0,0.0,53.6
800.1,TSLA,2020-02-14,1.0,0.0,53.34
858.4499999999999,TSLA,2020-02-18,1.0,0.0,57.23
917.4,TSLA,2020-02-19,1.0,0.0,61.16
899.4,TSLA,2020-02-20,1.0,0.0,59.96
901.05,TSLA,2020-02-21,1.0,0.0,60.07
833.85,TSLA,2020-02-24,1.0,0.0,55.59
799.9499999999999,TSLA,2020-02-25,1.0,0.0,53.33
778.8000000000001,TSLA,2020-02-26,1.0,0.0,51.92
679.0500000000001,TSLA,2020-02-27,1.0,0.0,45.27
667.95,TSLA,2020-02-28,1.0,0.0,44.53
743.55,TSLA,2020-03-02,1.0,0.0,49.57
745.5,TSLA,2020-03-03,1.0,0.0,49.7
749.55,TSLA,2020-03-04,1.0,0.0,49.97
724.5,TSLA,2020-03-05,1.0,0.0,48.3
703.5,TSLA,2020-03-06,1.0,0.0,46.9
607.95,TSLA,2020-03-09,1.0,0.0,40.53
645.3000000000001,TSLA,2020-03-10,1.0,0.0,43.02
634.2,TSLA,2020-03-11,1.0,0.0,42.28
560.55,TSLA,2020-03-12,1.0,0.0,37.37
546.5999999999999,TSLA,2020-03-13,1.0,0.0,36.44
445.05,TSLA,2020-03-16,1.0,0.0,29.67
430.2,TSLA,2020-03-17,1.0,0.0,28.68
