unadjusted_close,ticker_symbol,datetime,split,dividend,forward_adj_close
136.33,AAPL,2021-06-29,1.0,0.0,568.51
136.96,AAPL,2021-06-30,1.0,0.0,571.14
137.27,AAPL,2021-07-01,1.0,0.0,572.43
139.96,AAPL,2021-07-02,1.0,0.0,583.65
142.02,AAPL,2021-07-06,1.0,0.0,592.24
144.57,AAPL,2021-07-07,1.0,0.0,602.87
143.24,AAPL,2021-07-08,1.0,0.0,597.33
145.11,AAPL,2021-07-09,1.0,0.0,605.12
144.5,AAPL,2021-07-12,1.0,0.0,602.58
145.64,AAPL,2021-07-13,1.0,0.0,607.33
149.15,AAPL,2021-07-14,1.0,0.0,621.97
148.48,AAPL,2021-07-15,1.0,0.0,619.18
146.39,AAPL,2021-07-16,1.0,0.0,610.46
142.45,AAPL,2021-07-19,1.0,0.0,594.03
146.15,AAPL,2021-07-20,1.0,0.0,609.46
145.4,AAPL,2021-07-21,1.0,0.0,606.33
146.8,AAPL,2021-07-22,1.0,0.0,612.17
148.56,AAPL,2021-07-23,1.0,0.0,619.51
148.99,AAPL,2021-07-26,1.0,0.0,621.3
146.77,AAPL,2021-07-27,1.0,0.0,612.05
144.98,AAPL,2021-07-28,1.0,0.0,604.58
145.64,AAPL,2021-07-29,1.0,0.0,607.33
145.86,AAPL,2021-07-30,1.0,0.0,608.25
145.52,AAPL,2021-08-02,1.0,0.0,606.83
147.36,AAPL,2021-08-03,1.0,0.0,614.51
146.95,AAPL,2021-08-04,1.0,0.0,612.8
147.06,AAPL,2021-08-05,1.0,0.0,613.26
146.14,AAPL,2021-08-06,1.0,0.22,609.42
146.09,AAPL,2021-08-09,1.0,0.0,610.13
145.6,AAPL,2021-08-10,1.0,0.0,608.08
145.86,AAPL,2021-08-11,1.0,0.0,609.17
148.89,AAPL,2021-08-12,1.0,0.0,621.82
149.1,AAPL,2021-08-13,1.0,0.0,622.7
151.12,AAPL,2021-08-16,1.0,0.0,631.14
150.19,AAPL,2021-08-17,1.0,0.0,627.25
146.36,AAPL,2021-08-18,1.0,0.0,611.26
146.7,AAPL,2021-08-19,1.0,0.0,612.68
148.19,AAPL,2021-08-20,1.0,0.0,618.9
149.71,AAPL,2021-08-23,1.0,0.0,625.25
149.62,AAPL,2021-08-24,1.0,0.0,624.87
148.36,AAPL,2021-08-25,1.0,0.0,619.61
147.54,AAPL,2021-08-26,1.0,0.0,616.18
148.6,AAPL,2021-08-27,1.0,0.0,620.61
153.12,AAPL,2021-08-30,1.0,0.0,639.49
151.83,AAPL,2021-08-31,1.0,0.0,634.1
152.51,AAPL,2021-09-01,1.0,0.0,636.94
153.65,AAPL,2021-09-02,1.0,0.0,641.7
154.3,AAPL,2021-09-03,1.0,0.0,644.42
156.69,AAPL,2021-09-07,1.0,0.0,654.4
155.11,AAPL,2021-09-08,1.0,0.0,647.8
154.07,AAPL,2021-09-09,1.0,0.0,643.46
148.97,AAPL,2021-09-10,1.0,0.0,622.16
149.55,AAPL,2021-09-13,1.0,0.0,624.58
148.12,AAPL,2021-09-14,1.0,0.0,618.61
149.03,AAPL,2021-09-15,1.0,0.0,622.41
148.79,AAPL,2021-09-16,1.0,0.0,621.4
146.06,AAPL,2021-09-17,1.0,0.0,610.0
142.94,AAPL,2021-09-20,1.0,0.0,596.97
143.43,AAPL,2021-09-21,1.0,0.0,599.02
145.85,AAPL,2021-09-22,1.0,0.0,609.13
146.83,AAPL,2021-09-23,1.0,0.0,613.22
146.92,AAPL,2021-09-24,1.0,0.0,613.59
145.37,AAPL,2021-09-27,1.0,0.0,607.12
141.91,AAPL,2021-09-28,1.0,0.0,592.67
142.83,AAPL,2021-09-29,1.0,0.0,596.51
141.5,AAPL,2021-09-30,1.0,0.0,590.96
142.65,AAPL,2021-10-01,1.0,0.0,595.76
139.14,AAPL,2021-10-04,1.0,0.0,581.1
141.11,AAPL,2021-10-05,1.0,0.0,589.33
142.0,AAPL,2021-10-06,1.0,0.0,593.05
143.29,AAPL,2021-10-07,1.0,0.0,598.43
142.9,AAPL,2021-10-08,1.0,0.0,596.81
142.81,AAPL,2021-10-11,1.0,0.0,596.43
141.51,AAPL,2021-10-12,1.0,0.0,591.0
140.91,AAPL,2021-10-13,1.0,0.0,588.49
143.76,AAPL,2021-10-14,1.0,0.0,600.4
144.84,AAPL,2021-10-15,1.0,0.0,604.91
146.55,AAPL,2021-10-18,1.0,0.0,612.05
148.76,AAPL,2021-10-19,1.0,0.0,621.28
149.26,AAPL,2021-10-20,1.0,0.0,623.37
149.48,AAPL,2021-10-21,1.0,0.0,624.29
148.69,AAPL,2021-10-22,1.0,0.0,620.99
148.64,AAPL,2021-10-25,1.0,0.0,620.78
149.32,AAPL,2021-10-26,1.0,0.0,623.62
148.85,AAPL,2021-10-27,1.0,0.0,621.66
152.57,AAPL,2021-10-28,1.0,0.0,637.19
149.8,AAPL,2021-10-29,1.0,0.0,625.62
148.96,AAPL,2021-11-01,1.0,0.0,622.11
150.02,AAPL,2021-11-02,1.0,0.0,626.54
151.49,AAPL,2021-11-03,1.0,0.0,632.68
150.96,AAPL,2021-11-04,1.0,0.0,630.47
